z     eff      effB    pur    ppur    fom     fomB    CC     SCB
0.1   0.87     0.61    0.66   0.39    0.34    0.24    0.73   0.32             
0.3   0.91     0.35    0.94   0.83    0.76    0.29    0.88   0.23
0.5   0.49     0.12    0.97   0.90    0.44    0.11    0.82   0.15
0.7   0.06     0.02    1.0    1.00    0.06    0.02    0.57   0.10
